"","Latitude","Longitude","Species","Date Observed","Site"
"261",32.217753,-110.883876,"Brephidium exilis","9/22/2016","iNat"
"262",32.24354261,-111.1692478,"Asterocampa leilia","9/25/2016","iNat"
"263",32.28136905,-110.7302533,"Asterocampa leilia","9/25/2016","iNat"
"264",32.23188123,-110.9509475,"Phoebis sennae","9/26/2016","iNat"
"265",32.33722305,-110.9780579,"Asterocampa leilia","9/26/2016","iNat"
"266",32.23190333,-110.9509583,"Phoebis sennae","9/26/2016","iNat"
"267",32.24312,-111.16738,"Phoebis sennae","9/28/2016","iNat"
"268",32.24338833,-111.1674717,"Abaeis nicippe","9/28/2016","iNat"
"269",32.24338833,-111.1674717,"Erynnis funeralis","9/28/2016","iNat"
"270",32.24339667,-111.1675033,"Danaus gilippus","9/28/2016","iNat"
"271",32.24331333,-111.1675033,"Battus philenor","9/28/2016","iNat"
"272",32.24360466,-111.1680774,"Danaus plexippus","9/28/2016","iNat"
"273",32.24360919,-111.1681096,"Danaus gilippus","9/28/2016","iNat"
"274",32.24297853,-111.1675678,"Agraulis vanillae","9/28/2016","iNat"
"275",32.24286737,-111.1675061,"Phoebis sennae","9/28/2016","iNat"
"276",32.24213007,-111.1674283,"Abaeis nicippe","9/28/2016","iNat"
"277",32.24202571,-111.1680453,"Erynnis funeralis","9/28/2016","iNat"
"278",32.2433347,-111.1687802,"Lerodea eufala","9/28/2016","iNat"
"279",32.24271991,-111.1683832,"Asterocampa leilia","9/28/2016","iNat"
"280",32.24305112,-111.1683618,"Abaeis nicippe","9/28/2016","iNat"
"281",32.23479838,-110.9250132,"Danaus gilippus","10/1/2016","iNat"
"282",32.217753,-110.883876,"Leptotes marina","10/1/2016","iNat"
"283",32.232874,-110.900387,"Lerodea eufala","10/2/2016","iNat"
"284",32.232874,-110.900387,"Dymasia dymas","10/2/2016","iNat"
"285",32.232874,-110.900387,"Brephidium exilis","10/2/2016","iNat"
"286",32.232874,-110.900387,"Copaeodes aurantiaca","10/2/2016","iNat"
"287",32.232874,-110.900387,"Nathalis iole","10/2/2016","iNat"
"288",32.228247,-110.955242,"Agraulis vanillae","10/3/2016","iNat"
"289",32.217753,-110.883876,"Asterocampa celtis","10/8/2016","iNat"
"290",32.217753,-110.883876,"Lerodea eufala","10/8/2016","iNat"
"291",32.217753,-110.883876,"Dymasia dymas","10/9/2016","iNat"
"292",32.217753,-110.883876,"Libytheana carinenta","10/9/2016","iNat"
"293",32.217753,-110.883876,"Abaeis nicippe","10/9/2016","iNat"
"294",32.33722305,-110.9780579,"Atlides halesus","10/10/2016","iNat"
"295",32.27694321,-110.9494476,"Libytheana carinenta","10/11/2016","iNat"
"296",32.232874,-110.900387,"Systasea zampa","10/15/2016","iNat"
"297",32.217753,-110.883876,"Nathalis iole","10/15/2016","iNat"
"298",32.217753,-110.883876,"Phoebis sennae","10/15/2016","iNat"
"299",32.17892286,-110.7362298,"Atlides halesus","10/21/2016","iNat"
"300",32.2555971,-110.837177,"Vanessa cardui","10/24/2016","iNat"
"301",32.217753,-110.883876,"Hylephila phyleus","10/25/2016","iNat"
"302",32.217753,-110.883876,"Anthanassa texana","10/25/2016","iNat"
"303",32.217753,-110.883876,"Eurema mexicana","10/28/2016","iNat"
"304",32.217753,-110.883876,"Junonia coenia","10/28/2016","iNat"
"305",32.217753,-110.883876,"Papilio rumiko","10/28/2016","iNat"
"306",32.27694321,-110.9494476,"Battus philenor","10/29/2016","iNat"
"307",32.2484649,-110.9082729,"Danaus gilippus","10/30/2016","iNat"
"308",32.23014975,-110.9588948,"Papilio rumiko","10/30/2016","iNat"
"309",32.22424667,-110.7651667,"Danaus gilippus","10/30/2016","iNat"
"310",32.248523,-110.908785,"Euptoieta claudia","10/30/2016","iNat"
"311",32.27694321,-110.9497223,"Pontia protodice","10/31/2016","iNat"
"312",32.27694321,-110.9497223,"Junonia coenia","10/31/2016","iNat"
"313",32.27694321,-110.9497223,"Euptoieta claudia","10/31/2016","iNat"
"314",32.33831748,-110.9789214,"Danaus gilippus","11/4/2016","iNat"
"315",32.33722305,-110.9783325,"Zerene cesonia","11/7/2016","iNat"
"316",32.25904167,-111.0135028,"Papilio rumiko","11/7/2016","iNat"
"317",32.2485888,-110.9085879,"Anthanassa texana","11/11/2016","iNat"
"318",32.2480845,-110.9084255,"Danaus gilippus","11/11/2016","iNat"
"319",32.248143,-110.9081519,"Vanessa cardui","11/11/2016","iNat"
"320",32.24556027,-111.0680397,"Chiomara georgina","11/12/2016","iNat"
"321",32.2085391,-110.9245562,"Danaus gilippus","11/15/2016","iNat"
