observed_on_string,observed_on,tag_list,description,captive_cultivated,oauth_application_id,latitude,longitude,geoprivacy,taxon_geoprivacy,positioning_method,scientific_name,iconic_taxon_name,taxon_id,taxon_genus_name,taxon_species_name
25-Aug-14,8/25/2014,,"Pima County, Arizona, US

BAMONA record
http://www.butterfliesandmoths.org/sighting_details/1013451",FALSE,,32.369784,-110.706139,,,,Bulia deducta,Insecta,215591,Bulia,Bulia deducta
25-Aug-14,8/25/2014,"#GreatNature, #animal","Pima County, Arizona, US

BAMONA record
http://www.butterfliesandmoths.org/sighting_details/1013442",FALSE,,32.369784,-110.706139,,,,Apatelodes pudefacta,Insecta,143887,Apatelodes,Apatelodes pudefacta
24-Aug-14,8/24/2014,,"Pima County, Arizona, US

BAMONA record
http://www.butterfliesandmoths.org/sighting_details/1012576",FALSE,,32.369784,-110.706139,,,,Ctenucha venosa,Insecta,217892,Ctenucha,Ctenucha venosa
24-Aug-14,8/24/2014,,"Pima County, Arizona, US",FALSE,,32.369784,-110.706139,,,,Cisthene martini,Insecta,367039,Cisthene,Cisthene martini
24-Aug-14,8/24/2014,"#GreatNature, #animal","Pima County, Arizona, US

BAMONA record
http://www.butterfliesandmoths.org/sighting_details/1012571",FALSE,,32.369784,-110.706139,,,,Chamaeclea pernana,Insecta,366925,Chamaeclea,Chamaeclea pernana
24-Aug-14,8/24/2014,,"Pima County, Arizona, US",FALSE,,32.369784,-110.706139,,,,Arta statalis,Insecta,214211,Arta,Arta statalis
24-Aug-14,8/24/2014,,"Pima County, Arizona, US",FALSE,,32.369784,-110.706139,,,,Filatima arizonella,Insecta,367012,Filatima,Filatima arizonella
24-Aug-14,8/24/2014,"#GreatNature, #animal","Pima County, Arizona, US",FALSE,,32.369784,-110.706139,,,,Pero meskaria,Insecta,367843,Pero,Pero meskaria
24-Aug-14,8/24/2014,,"Pima County, Arizona, US

BAMONA record
http://www.butterfliesandmoths.org/sighting_details/1012567",FALSE,,32.369784,-110.706139,,,,Lophocampa mixta,Insecta,224119,Lophocampa,Lophocampa mixta
24-Aug-14,8/24/2014,,"Pima County, Arizona, US

BAMONA record
http://www.butterfliesandmoths.org/sighting_details/1012586",FALSE,,32.369784,-110.706139,,,,Arachnis picta,Insecta,68163,Arachnis,Arachnis picta
24-Aug-14,8/24/2014,"#GreatNature, #animal","Pima County, Arizona, US

BAMONA record
http://www.butterfliesandmoths.org/sighting_details/1012566",FALSE,,32.369784,-110.706139,,,,Diathrausta harlequinalis,Insecta,218329,Diathrausta,Diathrausta harlequinalis
24-Aug-14,8/24/2014,,"Pima County, Arizona, US

BAMONA record
http://www.butterfliesandmoths.org/sighting_details/1013400",FALSE,,32.369784,-110.706139,,,,Schinia hulstia,Insecta,230537,Schinia,Schinia hulstia
24-Aug-14,8/24/2014,,"Pima County, Arizona, US

BAMONA record
http://www.butterfliesandmoths.org/sighting_details/1013413",FALSE,,32.369784,-110.706139,,,,Acontia cretata,Insecta,367876,Acontia,Acontia cretata
24-Aug-14,8/24/2014,,"Pima County, Arizona, US",FALSE,,32.369784,-110.706139,,,,Lobocleta peralbata,Insecta,224073,Lobocleta,Lobocleta peralbata
24-Aug-14,8/24/2014,,"Pima County, Arizona, US",FALSE,,32.369784,-110.706139,,,,Loxostege typhonalis,Insecta,367295,Loxostege,Loxostege typhonalis
24-Aug-14,8/24/2014,,"Pima County, Arizona, US",FALSE,,32.369784,-110.706139,,,,Anania labeculalis,Insecta,505494,Anania,Anania labeculalis
24-Aug-14,8/24/2014,,"Pima County, Arizona, US",FALSE,,32.369784,-110.706139,,,,Cobubatha lixiva,Insecta,367010,Cobubatha,Cobubatha lixiva
24-Aug-14,8/24/2014,,"Pima County, Arizona, US

BAMONA record
http://www.butterfliesandmoths.org/sighting_details/1012581",FALSE,,32.369784,-110.706139,,,,Hemeroplanis incusalis,Insecta,346571,Hemeroplanis,Hemeroplanis incusalis
24-Aug-14,8/24/2014,"#GreatNature, #animal","Pima County, Arizona, US",FALSE,,32.369784,-110.706139,,,,Pyrausta pseudonythesalis,Insecta,356131,Pyrausta,Pyrausta pseudonythesalis
24-Aug-14,8/24/2014,,"Pima County, Arizona, US",FALSE,,32.369784,-110.706139,,,,Amydria effrentella,Insecta,213476,Amydria,Amydria effrentella
24-Aug-14,8/24/2014,,"Pima County, Arizona, US

BAMONA record
http://www.butterfliesandmoths.org/sighting_details/1012555",FALSE,,32.369784,-110.706139,,,,Nemapogon defectella,Insecta,362218,Nemapogon,Nemapogon defectella
24-Aug-14,8/24/2014,"#GreatNature, #animal","Pima County, Arizona, US",FALSE,,32.369784,-110.706139,,,,Spragueia magnifica,Insecta,367122,Spragueia,Spragueia magnifica
24-Aug-14,8/24/2014,,"Pima County, Arizona, US",FALSE,,32.369784,-110.706139,,,,Etiella zinckenella,Insecta,126738,Etiella,Etiella zinckenella
24-Aug-14,8/24/2014,,"Pima County, Arizona, US

BAMONA record
http://www.butterfliesandmoths.org/sighting_details/1013401",FALSE,,32.369784,-110.706139,,,,Thurberiphaga diffusa,Insecta,132080,Thurberiphaga,Thurberiphaga diffusa
24-Aug-14,8/24/2014,"#GreatNature, #animal","Pima County, Arizona, US

BAMONA record
http://www.butterfliesandmoths.org/sighting_details/1012565",FALSE,,32.369784,-110.706139,,,,Hyles lineata,Insecta,49348,Hyles,Hyles lineata
24-Aug-14,8/24/2014,,"Pima County, Arizona, US",FALSE,,32.369784,-110.706139,,,,Magusa divaricata,Insecta,143031,Magusa,Magusa divaricata
25-Aug-14,8/25/2014,,"Pima County, Arizona, US

BAMONA record
http://www.butterfliesandmoths.org/sighting_details/1013462",FALSE,,32.369784,-110.706139,,,,Bagisara buxea,Insecta,346554,Bagisara,Bagisara buxea
25-Aug-14,8/25/2014,"#GreatNature, #animal","Pima County, Arizona, US

BAMONA record
http://www.butterfliesandmoths.org/sighting_details/1013383",FALSE,,32.369784,-110.706139,,,,Spragueia magnifica,Insecta,367122,Spragueia,Spragueia magnifica
25-Aug-14,8/25/2014,,"Pima County, Arizona, US

BAMONA record
http://www.butterfliesandmoths.org/sighting_details/1013384",FALSE,,32.369784,-110.706139,,,,Ponometia venustula,Insecta,361811,Ponometia,Ponometia venustula
25-Aug-14,8/25/2014,,"Pima County, Arizona, US",FALSE,,32.369784,-110.706139,,,,Cobubatha lixiva,Insecta,367010,Cobubatha,Cobubatha lixiva
25-Aug-14,8/25/2014,,"Pima County, Arizona, US",FALSE,,32.369784,-110.706139,,,,Hemeroplanis incusalis,Insecta,346571,Hemeroplanis,Hemeroplanis incusalis
25-Aug-14,8/25/2014,,"Pima County, Arizona, US",FALSE,,32.369784,-110.706139,,,,Loxostege typhonalis,Insecta,367295,Loxostege,Loxostege typhonalis
25-Aug-14,8/25/2014,,"Pima County, Arizona, US",FALSE,,32.369784,-110.706139,,,,Stergamataea inornata,Insecta,211408,Stergamataea,Stergamataea inornata
25-Aug-14,8/25/2014,,"Pima County, Arizona, US",FALSE,,32.369784,-110.706139,,,,Euchromius ocellea,Insecta,789601,Euchromius,Euchromius ocellea
25-Aug-14,8/25/2014,,"Pima County, Arizona, US",FALSE,,32.369784,-110.706139,,,,Tarache quadriplaga,Insecta,332265,Tarache,Tarache quadriplaga
25-Aug-14,8/25/2014,,"Pima County, Arizona, US",FALSE,,32.369784,-110.706139,,,,Idaea gemmata,Insecta,367844,Idaea,Idaea gemmata
25-Aug-14,8/25/2014,,"Pima County, Arizona, US

BAMONA record
http://www.butterfliesandmoths.org/sighting_details/1013467",FALSE,,32.369784,-110.706139,,,,Ethmia hodgesella,Insecta,367284,Ethmia,Ethmia hodgesella
25-Aug-14,8/25/2014,,"Pima County, Arizona, US",FALSE,,32.369784,-110.706139,,,,Magusa divaricata,Insecta,143031,Magusa,Magusa divaricata
25-Aug-14,8/25/2014,,"Pima County, Arizona, US",FALSE,,32.369784,-110.706139,,,,Magusa divaricata,Insecta,143031,Magusa,Magusa divaricata
25-Aug-14,8/25/2014,,"Pima County, Arizona, US",FALSE,,32.369784,-110.706139,,,,Lobocleta peralbata,Insecta,224073,Lobocleta,Lobocleta peralbata
